file,target,candidate
hexo.32de5a8aa95ecd5da5512ba34e5db30d1449aa8a.lib.plugins.helper.open_graph.js,function openGraphHelper(options){,var app = this.use(options());
hexo.6c59cbab4e4d3473957956b2fb8af8dbeeb8b626.test.scripts.processors.post.js,"it('post - post_asset_folder enabled with unpublished posts', async () => {","it('should return post.limit to the length', async () => {"
hexo.cfd281fdc74e1282cc21d411b8847b9fe98dc636.lib.hexo.index.js,"this.log.debug('Hexo version: %s', magenta(this.version));",this.log.log('return posts.init);
express.6b9eb8aae329ac44428a11a6e1bf2a10e36e1895.lib.express.view.js,function cacheView(path) {,NULL
bower.9623f44d83c0641c6957b54c96e0f95f00845fd5.lib.util.read-json.js,readJSON.cache.reset();,return Promise.resolve();
pencilblue.de05baebbcbfb2a4ed97c677f07d16c52e170dad.plugins.themes.pencilblue.include.articles.js,var mediaTemplate = '';,varmediaTemplate = '';
express.c18c2a8e68c6e260ce9346847038c9a259b2eb1b.examples.session.index.js,if (!module.parent) {,it('should error(){
bower.f606eda18d7bced2ba8254775f1129a843645658.packages.bower-registry-client.lib.lookup.js,var replay = require('request-replay');,var replay = require('request-replay');
hexo.d9d649e124b1240b6867606f1f514fccd6c068e1.lib.plugins.generator.asset.js,hexo.model('Asset').each(function(asset){,""""
express.d9e7153fc99c8de1c6c89b56a16bbb21cb3d76ff.lib.http.js,this.enable('view cache');,discard();return this;
bower.a464f5a88e14b2c4c1fd97e79396882b2a192e0b.lib.core.Manager.js,"message: 'Answer',",return res
express.22e338fbd43ac06c1eb87b8f789cbc1af872d5a3.lib.express.static.js,"posix.cat(file, ""binary"").addCallback(function(content){","+'' + file, 'utf8', function(content){"
bower.2c9e4aacf2f0248480294d455d468f5cd4cc628e.lib.core.PackageRepository.js,var info = {};,var info = {
express.39609af2a75ea208585a0ed5b7db53b30e3836be.spec.spec.plugins.cookie.js,it 'should not set the Set-Cookie header when nothing is available',it'should set the Set-Cookie header'
hexo.e2fcdc8cd7ac8b1912507b25d122839e65798338.lib.init.js,"fs.exists(packagePath, function(exist){",return config = function(next){
hexo.b25625c5c24b2285e21f9293c3202f92414ad9c9.lib.plugins.helper.open_graph.js,if (description) {,if (description) {
express.a4a349da45e7528408a09ce8f696ebca0583808d.lib.express.response.js,if (204 === status) {,NULL
express.3afb2ed6168242539e6d72ec5b883563887d8ce9.lib.express.pages.style.js,margin: 0;                                                          \n\,}
hexo.b34b0675e56496af9d6466858db73fbcfadbd00f.test.scripts.hexo.load_config.js,"const configPath = pathFn.join(__dirname, 'werwerwer.yml');",config.foo.should.eql(2dbar);
hexo.7704dcb0947fd8d25c601b09332a211cf7f43e60.lib.plugins.helper.open_graph.js,let language = options.language || page.lang || page.language || config.language;,'
hexo.82947e547d9d06ba6b2cccda984c1fc9c5d48eea.lib.generator.post.js,var publicDir = hexo.public_dir;,var publicDir = hexo.public_dir;
express.52b29b6a21fa0e21db4eb1d61393378199a99dd2.lib.express.core.js,if (e instanceof ExpressError),response.on('end')
express.d0f14f848843b926cdf060c5a672734d230cb7fc.lib.express.plugins.profiler.js,extend: {,NULL
bower.7e110603b5ec408d1c74d28648c7a7be49514d65.test.commands.update.js,gitPackage.prepareGit({,gitPackage.prepare();
express.5fe033cef14e5fc705bc9605fe72f5fa46c5900e.lib.express.helpers.js,exports.uid = function() {,NULL
bower.4061ef65e43a517c9e14d31f387c21360d4bf637.lib.core.resolvers.UrlResolver.js,"that._logger.debug('progress', receivedMb + 'MB of ' + totalMb + 'MB downloaded, ' + state.percent + '%');","}).progress(function (d = function (delta, i, i, i, state) {"
eslint.219aecb78bc646d44bad27dc775a9b3d3dc58232.lib.code-path-analysis.code-path-analyzer.js,"{ breakableTypePattern } = require(""../../shared/ast-utils""),","eslint = require(""../../../lib/eslint"");"
express.b655b8e97bdea20ca0a1cd5c3e33e153e7683a88.test.view.test.js,'test #partial() object': function(assert){,assert.sedule : function(){
bower.46655b7c4ed6fc0fa7fc3f671dafa987fefab249.lib.core.resolvers.pluginResolverFactory.js,if (that.constructor.isTargetable()) {,return function () {
express.5830ac993635b1f81459570f5558512cefcf5f8f.test.view.test.js,"'test #partial() relative lookup with ""view engine""': function(){","}).should.seap('s', function(){"
karma.55755e4a0b6529bc855d7dbfc7b04f0094e6aacc.test.e2e.support.after_hooks.js,"this.After(function (scenario, callback) {","this.child.on('error', function(e, callback) {"
hexo.6e81ff71e533e6cafc62fe582d50b01d83b2358d.test.scripts.box.box.js,var processor = sinon.spy();,process() => fs.unshift();
karma.5334d1a86b46f3c106b5a86f0bee7e4a58c5e4ae.lib.file-list.js,"const prevFile = this._findFile(path, patternObject)",}).return this._readFile(this._readFile)
hexo.3323364f3a81b539f303f6dec4ae666bb3c34dcc.lib.plugins.helper.number.js,var split = num.toString().split('.');,var split = num.toString().split('.');
hexo.4fe341504def13aa02147373a70e40ed8e45ec58.lib.route.js,"str = str.replace(/\\/g, '/');","str = str.replace(/\\/+$/, '/');"
hexo.84c4c66da6baf8479f0d65138bc8de6f72516ee9.test.scripts.hexo.post.js,'<blockquote>' + highlighted + '</blockquote>',{ highlighted });
express.23987d19ce6cf982aba76f694aa0a1143a8912fa.spec.spec.node.js,"require.paths.unshift(""./spec/lib"", ""./lib"");",.exec('spec/spec.routing.js')
hexo.3de151d53854f0121be6cd92f8419a6599a3dddd.lib.models.tag.js,const { config } = ctx;,const { name } = data;
bower.71cddb628ee04c9a951d6e398ccbf8e9912ea2b7.test.package.js,beforeEach(function (done) {,beforeEach(function (done) {
bower.520e1c4def706d591d89cd536a244056ade61d0d.test.manager.js,throw err;,.done();
express.371d66ba2a549bf24d35c785773998debcab6db3.lib.view.js,options.layout = function(path){,NULL
bower.aa30fe885a2ae1116df287459391df0f34fbb803.lib.commands.uninstall.js,var fs       = require('fs');,var fs       = require(\'fs\');
hexo.0e3b9ec2abafd35b0c40d91071d0315ee89614b2.lib.models.category.js,"const { slugize, full_url_for } = require('hexo-util');",const { slugize } = require(\'hexo-util\');
express.268d19e8a3e39b4eefb12dd45e4742f3a70afd40.lib.express.response.js,if (this.req.query.callback && this.app.settings['jsonp callback']) {,return this.redirectedirectingOverride);
hexo.8f985eb15538274467561d05de29b28e89252a94.lib.plugins.tag.post_path.js,module.exports = ctx => {,module.exports = ctx => {
express.99b7e74422d3549e07cc81bbe15dc3b4326e70d7.lib.express.plugins.view.js,layout = options.layout === undefined ? 'layout' : options.layout,'
hexo.095e85aed13b861be8fe5385d0f71c897307aec6.test.scripts.tags.post_link.js,"title: '""Hello"" <new world>!'","""title: ""Hello world""',"
hexo.f3c915aba207959f735921be1aa1e6b2f8d6bfe1.test.scripts.helpers.open_graph.js,openGraph.call({,const 't' = 'a
karma.5bb19a8b64e43fc786210ae6f6f8cb9121c3d271.lib.init.js,"question: 'Which files do you want to include with <script> tag ?',",function formatters.frameworks () {
express.85d696487459047a7da192ce672a3034fb917f58.test.req.header.js,"describe('.get(field)', function(){","describe('.header(field)', function(){"
hexo.a3f8317632ad00b2e8fa616ce325ddeedbc195e7.lib.plugins.filter.after_post_render.index.js,"filter.register('after_post_render', require('./external_link'));",'
bower.53eeca97d38945751075932ac6e6841ebeaeeb0a.lib.util.extract.js,.then(function (files) {,return function (paths) {
bower.38501a0b93ec740b530fc254b5cd77715fd98cc9.lib.core.resolvers.pluginResolverFactory.js,var releases = that._releases = result;,"source : source,"
express.0b2413d8c0f29be5a9779fc02e7e984d502af304.lib.express.plugins.common-logger.js,return true;,return [
bower.9cee8b7b785e0fea884772536fa526bf03f8c75f.lib.core.resolvers.GitHubResolver.js,if (this._config.proxy || this._config.httpsProxy) {,NULL
hexo.3910df93338055bd77bedd4fb4e97d03462c3159.lib.plugins.tag.vimeo.js,function vimeoTag(id) {,NULL
bower.e5c4391900348da691be3c8196ac44a4dd983354.lib.resolve.resolvers.GitFsResolver.js,"GitResolver.call(this, source, options);","GitResolver.call(this, source, options);"
karma.9690d4ecafff914c3640d0e34027065b6897fe5c.scripts.init-dev-env.js,}),}
hexo.d77539a947833051bc3d04df5d04e0f9efa9e654.lib.cli.deploy.js,"fs = require('fs'),","_ = require('underscore'),"
hexo.c3d0367955c8b5566c0f0ee2b131659aa2196549.test.scripts.console.clean.js,exist.should.be.false;,exist.should.be.false;
bower.4148e0c7a9aab70a1653760955c1dfc502045201.lib.core.Project.js,return !assume && !this._jsonFile ? null : json;,return Q.then(this._json = function () {
karma.55755e4a0b6529bc855d7dbfc7b04f0094e6aacc.client.constants.js,"KARMA_PROXY_PATH: '%KARMA_PROXY_PATH%',","KARMA_PROXY_PATH: '%KARMA_PROXY_PATH%',"
karma.9dbbf87dfa5a87f66a76f73c7a11ba9a83e8c7e7.lib.server.js,"var resultReporter = reporter.createReporter(config.reporter, config.colors, config.basePath);",""""
hexo.8fe91742500eef6d8ab005abe14d2c770a3d527a.test.core.js,"post: /title: (.*?)\ndate: \d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}\ntags:(.*)?\n---/,","describe('watch - update', function(){"
hexo.698959f69570d5c8da238cb6a8da8e6ff989dfb5.lib.cli.generate.js,"console.log('Site generated in %ds.', ((finish.getTime() - start.getTime()) / 1000).toFixed(3));",it('_generate() siteLocals() siteLocals() siteLocals());
express.18fa2c9c7d032eedb9074953a264ff224bf3167e.lib.application.js,"connect.proto.use.call(this, route, fn);",res.app.setHeader('router');
express.f5af66a1ab5c79c011646aca8c5e0e9995476f28.examples.github.app.js,var express = require('./../../lib/express'),var client = require('morgan');
express.eb676a279a7af657f77189c1b3742b0631b7ef13.spec.spec.collection.js,describe '#reduce()',describe '#reduce()'
bower.7c2384cb94533feb64783df197c580178d18cf7d.lib.core.ResolveCache.js,release = encodeURIComponent(release);,return function clear() {
hexo.bc7740f5637d109bbd64d65314e2959bc491a7ed.lib.models.types.moment.js,class SchemaTypeMoment extends SchemaType {,"const SchemaTypeMoment = (obj, options) => {"
karma.0cb7096e48b32fd0e02bd913a65841acc7f91f38.lib.config.js,"var parseConfig = function(configFilePath, cliOptions) {",NULL
express.11529a2ea0294e548abae5201eae9ce5bdbb930e.test.app.options.js,".expect('GET,HEAD,PUT')",".expect('GET', 'GET')"
karma.4ed3af0c5ec9a9949448c4c568c16c33d6bc5cdd.lib.browser_collection.js,"calculateExitCode (results, singleRunBrowserNotCaptured, config) {","module.exports = BrowserCollection;"""
karma.bbb4a524c7fb68342799ed93e6bdf0e0e75a012e.lib.file-list.js,"var file = new File(path, stat.mtime);",return this.buckets.push(this);
express.41f73559f2c2f84f69b53d7b39155a30f6364ce7.lib.express.server.js,"this.set('env', process.env.EXPRESS_ENV || process.connectEnv.name);",""""
express.40f8202402ba164f092f715678bc468e4ce9a6ee.lib.response.js,if (err) {,if (err) {
express.d8e20183ef72192770fa213e99611c0598281fe7.lib.express.view.js,contentType(ext),contentType(ext)
express.328c6d30603202cfdf1e479f2486e10521a91a44.test.app.param.js,", request = require('supertest');",var app = express();
express.4063d2e2c4f8b4de288d179533c4d982af53c5d7.lib.express.plugins.profiler.js,"process.mixin(this, options)","""options"" : options,"
bower.0316fedd4c71b2914b9efd98904f6aa3e46e277e.lib.commands.list.js,"project.walkTree(tree, function (node) {","project.walkTree(tree, function (node) {"
bower.bb98627d2b6fb417906979f71d40e36177c434b4.packages.bower-json.lib.bower-json.js,json = JSON.parse(contents.toString());,var json = JSON.parse(contents.toString());
hexo.8c0ca000a279ebe61c150a8a60078b332de08442.test.scripts.models.page.js,"it('permalink - trailing_index', () => {",hexo.config.pretty_urls.trailing_index = false;
hexo.54cdd406c4a74290f5d2ef7c4c268b46d7f5d31a.lib.loaders.update.js,"name: 'hexo-site',",""""
bower.bcbff3271672cfac08de3b2ca58c632de899004a.lib.commands.register.js,var getGithubUrl = function (source) {,var getGithubUrl = function (source) {
express.1396e0855d1f7cf0ef86913e74c262bb9ade7e7e.examples.static-files.index.js,var logger = require('morgan');,var logger = require('morgan');
eslint.219aecb78bc646d44bad27dc775a9b3d3dc58232.tests.lib.util.report-translator.js,"const { SourceCode } = require(""../../../lib/source-code"");",assert.deepStrictEqual(30022);
hexo.9f52ef1149be241a148f1cdfc7aab8ad88403589.test.scripts.helpers.list_archives.js,"describe('list_archives', () => {","describe(\'asset_link\', () => {"
bower.2ccc05cb984c926ea96eb82c415beb4b133954ec.test.commands.install.js,},}
express.bcfcce32d317f3b841834950df916e7ddf76367b.lib.response.js,"res.send = function(body, status){",NULL
eslint.219aecb78bc646d44bad27dc775a9b3d3dc58232.lib.formatters.jslint-xml.js,"const xmlEscape = require(""../xml-escape"");",""""
express.ac17a6afcf9ef8b48398f5f23a050d7880bbcad8.test.response.test.js,"},","},"
express.2fc9a81e9eec98fb7f4933a716139010716badd8.test.view.test.js,"'<p>We have 3 cool pets\n</p>',",return { clear();
hexo.5bd70cf1ca19d6bfc1a97c887da0e52c47e3f8db.lib.config.js,global.hexo = {,global.hexo = {
hexo.7818a9c923b08b6f4a6d377405bfeec51fe75e52.lib.hexo.index.js,const full_url_for = require('../plugins/helper/full_url_for');,const results = route = this.unwatch() : function() {
express.3d242a607e3da4250d9fe3c6f2b65b6e9294a08e.lib.view.js,exports = module.exports = View;,NULL
karma.dab8a8218de2513aea6aefcf1f642a92e08869fd.lib.file-list.js,"changeFile (path, force) {",const noFile.then(() => {
express.b4f2c9c3842c96516212c83db384c4ba00661702.examples.app.js,use(Profiler),use(Cookie)
express.d85d834b236f50410560563b5c345aad2349f62f.spec.lib.jspec.xhr.js,"responseXML: null,",response.body = null;
bower.eba74f118207f45ad1375ab92def5c4769114a25.lib.core.source.js,var config   = require('config');,var config   = require('../config');
hexo.50c264927f6d2a54eaa6ff9fc1c374cd62154281.test.scripts.tags.code.js,"'const http = require(\'http\');',",const result });
bower.6bc778df32c0276300f0ca782a92b576b8ca6a06.test.commands.cache.list.js,"describe('bower cache list', function() {","describe('bower cache list', function () {"
hexo.f674cd4de4356787f9b3ede98ec12ca70ca1582a.lib.plugins.processor.index.js,});,});
hexo.f01a9aa3db9dc5b52d056c7467186fa5f33c5857.test.scripts.processors.common.js,"describe('common', function() {","it(\'Date\', function(){"
hexo.29e28e2d8f6f8fdb247ad2c47788857d003fd894.lib.plugins.processor.post.js,data.__permalink = data.permalink;,.parse(data);
hexo.8f35f1500496d8af2630cdd66e47880132e20300.test.scripts.processors.asset.js,"it('asset - type: skip', function() {",it('should.skip_id = null;
hexo.0d0a00a538d37094f2ebffed14224bd8ba0425d7.lib.plugins.processor.index.js,"compiled = compiled.replace(/<notextile>([\s\S]+?)<\/notextile>/g, function(match, str){","content = \'\\s*?)<notextile>', \'\\s*;')});"
hexo.2b63f9fc815abb6de98780160f9a7d5129f700d2.lib.hexo.post.js,loadContent(str) {,content: [
express.bd65ecf17bc6b9773b205b3ae8b08069e46c2c20.lib.express.request.js,http.IncomingMessage.prototype.is = function(type){,exports.is_current = function(path){
express.92967d34570751fb30fb85b5f8d958c6a6b7369e.test.view.test.js,'test #partial() relative index': function(){,"assert.assert.response(app, ""utf8': function(){"
bower.aea19b93b11b6fbdc14fcad5c6e434cf9732144f.packages.bower-registry-client.test.Client.js,this.registry = new RegistryClient();,this.registry = new RegistryClient({
hexo.49e7da5750875406f557a4148f3a0d2d877ae6d7.lib.util.partial.js,"newLocals.partial = function(part, options){",]).spread(function(doc){
bower.15d308864c982e7e78b5cf767b7fdf017a207de6.lib.core.Project.js,var source = decEndpoint.source === decEndpoint.name ? '' : decEndpoint.source;,return that._analyse.trackDecomposedEndpoints()
hexo.62abfdd9d89ce59b8507d7d02ecb0de814376d6b.lib.plugins.console.clean.js,"path = require('path'),","path = require('path'),"
hexo.0e3b9ec2abafd35b0c40d91071d0315ee89614b2.lib.models.page.js,const { full_url_for } = require('hexo-util');,'
hexo.f01a9aa3db9dc5b52d056c7467186fa5f33c5857.test.scripts.renderers.plain.js,"describe('plain', function() {",'
hexo.64c525fc253278e51da4c93bbbcf28610baef146.lib.init.js,"code_dir: 'downloads/code',","code_dir: 'downloads/code',"
hexo.ca38c7c3deae963b7c13ae4e54a8e85b5b8650fd.lib.plugins.processor.asset.js,"const { extname, relative } = require('path');","const { path, doc } = this.source = this;"
bower.44e71267c196793ccbb774870f366467c7fc4aaa.lib.commands.lookup.js,var PackageRepository = require('../core/PackageRepository');,NULL
karma.2c389311ce683646675adccf5a7b7b3160335148.lib.watcher.js,".on('unlink', bind(fileList.removeFile))","chokidarWatcher.on('add', bind(fileList.addFile)));"
karma.225c0e54ccdc1907f56e384a401425c96d7f47f6.test.unit.config.spec.js,"files: ['a/*.js', {pattern: 'b.js', watched: false, included: false}, {pattern: 'c.js'}],",{ useIframe: { useIframe: false } })
express.96e4014a70b8db48759bab48ef5877cb54553bba.lib.response.js,", mime = connect.mime",", mime = connect.mime"
bower.56b59da0cf2852de1810d90b3ec5bb7d3d4d69f4.lib.core.package.js,err.details = 'An error was caught when reading the ' + this.localConfig.json + ': ' + err.message;,"return { transform, tag: function () { transform, tag } };"
hexo.d3ede0a193698f4ee4e9e8da0838244b78f29eaa.lib.plugins.helper.open_graph.js,"result += og('og:updated_time', updated.toISOString());",")) return this.isNaNunix(updated) || (updated) > end();"""
express.4c274c524dd588c61d022b2fa72f181481203323.lib.response.js,options = options || {};,return { session; };
hexo.0b28f80343e704f751263a8119599670faad0666.test.scripts.helpers.mail_to.js,"it('path - array', () => {","it('path - array', () => {"
express.20c5892f9a8d8ac6419b1b6d5de742d437b0e6df.examples.mvc.controllers.user.js,res.render(users);,'
hexo.3f14b6922ae2bc286540dbace2df37092d9a4f13.lib.cli.deploy.js,var help = '\nYou should configure deployment settings in ' + clc.bold('_config.yml') + ' first!\n\nType:\n';,var help = 'You should configure deployment settings in'+ clc.bold('_config.yml') +'first!\
hexo.9d03b5c9595d2d0fc48f292e1af15c905e602beb.lib.models.post.js,date: {,});
express.2e617313d6c388f04b58e2149ca853a826219508.spec.spec.node.js,"JSpec.run({ formatter: JSpec.formatters.Terminal, failuresOnly: true })",.exec('spec/spec.commands.common-logger.js')
bower.0b9acc18cce4f6cf17d234a4b77adac66aa2c0bd.test.commands.cache.clean.js,"it('correctly reads arguments', function() {","it('correctly reads arguments', function() {"
express.2ccf87692966dee7d54da2777cb993a515226f1f.lib.express.plugins.content-length.js,if (!response.chunkedEncoding),if (!response.length) {
express.b9596d7ce8235f95c384ec94e173a864ba4d57af.lib.http.js,this.remove = {};,this.lookup = {};
bower.926b9e0bfd181e3cf4457193241d1404ab896f4f.Gruntfile.js,require('load-grunt-tasks')(grunt);,'
hexo.2ee787e3891710db6cc21991ecfdb669d56ae906.lib.plugins.helper.number_format.js,"function numberFormatHelper(num, options = {}) {",function openGraphHelper(options = {}) {
express.245fa8942a4478862b7a620c6ce66f55311c556e.examples.route-separation.index.js,"app.set('view engine', 'ejs');","app.use(function(req, res){"
hexo.df96cba394275f139c18bd8f939d1e743d81609e.lib.plugins.helper.js.js,"root = this.config.root,",""""
express.fbe3af47195240d1549cc3acc007c98828ef4939.test.utils.test.js,'test .miniMarkdown()': function(assert){,"}, function(err, pass){"
express.70d68419b03de465da6ec598c9a1b80c3ba22dca.lib.response.js,if ('number' == typeof arguments[1]) {,1 = 2; } obj = arguments[1];
hexo.2ee787e3891710db6cc21991ecfdb669d56ae906.lib.models.post_category.js,const Schema = require('warehouse').Schema;,NULL
bower.1aed2b9a439d6b42d2584ea20d5a9bb16182202f.lib.core.Manager.js,return -1;,return s;
bower.6bc778df32c0276300f0ca782a92b576b8ca6a06.test.commands.register.js,"var fakeRepositoryFactory = function(canonicalDir, pkgMeta) {",NULL
hexo.9b4968875169a62d053cfd57da87e22e7ed98a8b.lib.plugins.processor.post.js,"const { toDate, timezone, isExcludedFile, isTmpFile, isHiddenFile, isMatch } = require('./common');",const page = Page.findOne({source: file.path});
bower.9b81ddf4d51aa13e5b0350e73558d770f19a2b10.test.commands.install.js,"it.skip('installs a package', function () {","it('removes all git packages', function () {"
express.6e40c71b63b420b82077c1c7bcdee28eab1aeacc.lib.express.core.js,"return function(path, options, callback) {",string = function (path) {string) {string) {'
hexo.ef300c0c3aeae9d7fb34344224100bb24be829e3.lib.init.js,var configfile = args.config || '_config.yml';,var configfile = args.config || '_config.yml';
express.6f9e9276338a8a83bd811cda21192c199d28823b.lib.application.js,if (!this._usedRouter) this.use(this.router);,"();""@', fn();"") return this.set(this.fn();""});"""
bower.26709155830113517c15e5b377ef5a65a906218a.lib.core.package.js,var resolvedPath = path.resolve(split[0]);,return this.endpoint);
express.7ca59426d273d8a2423e2e27a3f3f39826e56a07.lib.express.plugins.cookie.js,Request.include({,NULL
bower.53eeca97d38945751075932ac6e6841ebeaeeb0a.test.core.resolverFactory.js,"describe.skip('should recognize svn remote endpoints correctly', function () {});","describe('_cache-s', function () {\', function () {"
hexo.e4ab1be6abab8ce377abd62325befb1431b0b65b.lib.plugins.generator.post.js,var posts = locals.posts.sort('date').toArray();,'
hexo.f6318c3011d847aec46fca62a89d8aa8e5104065.lib.plugins.tag.post_link.js,const { escapeHTML } = require('hexo-util');,const { htmlTag } = require(\'hexo-util\');
express.cd06bbfb8d8c52d75319701317f8b61d34fbe5bd.spec.spec.plugins.cookie.js,it 'should support malformed cookies',it'should populate Set-Cookie'
hexo.9cc0f67f897e242fbc81f0a996cf1ace74dee049.lib.plugins.tag.asset_link.js,const { escapeHTML } = require('hexo-util');,const { htmlTag } = require(\'hexo-util\');
hexo.ebd00e77d40c483ae26820ce5cb7e335755ad701.lib.plugins.processor.asset.js,const { Pattern } = util;,const path = file;
karma.6754306fa5b78b6a2e05ca4adbabdc2367d11741.lib.server.js,"logger.setup(config.logLevel, config.colors, config.loggers);","logger.setup(config.logLevel, config.colors, config.loggers);"
karma.21ebfb57d0c86d153b426306f5ab9d8c86fb2cab.lib.reporters.Base.js,if (dump.length === 1) {,if (args.length === 1) {
karma.8ef475f7d1a06562e659347dcc53c2e474cbddc7.test.unit.middleware.karma.spec.js,var clientConfig = {foo: 'bar'},var clientConfig = {
hexo.5f18b0d5865b4de305b3ba190b20076992d07a3a.lib.processor.analyze.js,"Taxonomy = require('../model').Taxonomy,","route = require('../route'),"
hexo.2b674ab4b4dcf2b46184f4936dc613c81f546f1c.lib.load.js,var newLocals = {,}).remove(locals);
hexo.0d8708657a7647a4bace99a24ba55ebb90d3acf6.lib.plugins.console.generate.js,"file.write(publicDir + i, result, next);",'
karma.63035662cf3484b189270d3b4d15762331012577.lib.reporters.progress.js,this.EXCLUSIVELY_USE_COLORS = false,this.EXCLUSIVELY_USE_COLORS = false
express.0892f6dec9655171feff721db81cdf8a6c6bc863.lib.express.mocks.js,if (event == 'body') {,if (event == null) {
hexo.cc9f2e5850eedf385347efbb16060ad17dfea244.lib.processor.load.js,"var sourceDir = hexo.source_dir,",return fs.readFile
karma.eb25abc435e565269a2868fa540340cf0cee439f.lib.launcher.js,var IEBrowser = function() {,""""
karma.8efb28d7a42b815cf92b1029fbdb75feab343da7.lib.browser_result.js,constructor (total = 0) {,constserialize () {
bower.22bbb3fcaf3ff8e1fcf0eba4e7977ef1b770c624.test.commands.install.js,"it('should handle @ as a divider', function () {","it('return helpers.display('', function () {"
karma.aab5b05e2c9bcb7c2b391320b64260eafdf57792.test.e2e.coverage.karma.conf.js,"browsers: [process.env.TRAVIS ? 'Firefox' : 'Chrome'],",""""
hexo.5a47abca5d165e753b1eeb42f879be582f6aa7ee.test.scripts.filters.excerpt.js,var spaces = ' \f\n\r\t\v\u00a0\u1680\u2000\u2001\u2002\u2003\u2004\u2005\u2006\u2007\u2008\u2009\u200a\u2028\u2029\u202f\u205f\u3000\ufeff';,""""
bower.3f7bf15cdba036ebcb9c3305e2e8514c861cb1ca.test.core.resolvers.urlResolver.js,it.skip('should report progress when it takes too long to clone');,it('should work with fs.readFile(options.done);
karma.5bfcf5f37de6f0a12abcf9914c2fad510395b4d6.test.unit.middleware.karma.spec.js,"'client_with_context.html': mocks.fs.file(0, 'CLIENT_WITH_CONTEXT\n%SCRIPT_URL_ARRAY%'),","'context.html': mocks.fs.file(0, \'CONTEXT\"
bower.192e5af797188937253cc821e69c3793031c0a2d.test.core.resolvers.resolver.js,"var tempDir = path.resolve(__dirname, '../../tmp/tmp');",return Q.s resolve('invalidate()
hexo.9e2f8f855dc45b66ed86a6a8295c7bf78ce9c2e8.lib.plugins.helper.tagcloud.js,if (!options){,if (!options){
hexo.e3c564dbb72674b1d4012ee3f3a3647197c29854.test.scripts.hexo.hexo.js,const pathFn = require('path');,const pathFn = require(\'path\');
express.332115d28aaf586399c1073d613d189655b910a3.lib.express.core.js,var route = {,formatters : {
express.cfb3018ae938d983ca0590e40b9449b534ef9b2c.lib.express.core.js,"hookCallbacks : {},",NULL
express.bd47aeb88d28c6cff6e2d8e5378ec73c262e039f.test.app.router.js,"it('should work inside literal parenthesis', function(done){","it('should work when found', function() is not in the 2 times', function(done) {"
express.328c6d30603202cfdf1e479f2486e10521a91a44.test.regression.js,", request = require('supertest');",'
karma.90b015c18f43642a63e3187e29193d1f64f623cb.lib.cli.js,if (util.isString(options.singleRun)) {,if (util.isString(options.singleRun)) {
express.a76fba57c49e1dfc641538521e48c86f35854843.test.response.test.js,"app.get('/json', function(req, res, next){","""s('j')});""sadd();""s('j');""s');""s'));"""
hexo.4aeccec456e9ef04407543e18cc9c30ffc56624f.lib.plugins.console.list.page.js,var table = require('text-table');,var path = require('path');
bower.578557f3d77874c32ae25a8a2be46ab75a238844.lib.renderers.StandardRenderer.js,pkg.root = true;,pkg.root));
karma.1696c7806561f75bdc16191bac2fb18c6b01de6b.lib.web-server.js,var https = require('https'),var path = require('path')
express.fed7fa4cd2f3fa21a09b344487bc951592932bd3.lib.response.js,", res = http.ServerResponse.prototype",__proto__: http.ServerResponse.prototype
hexo.12cdbe19852c60a9515e8a4090cbb92771031f25.lib.plugins.helper.open_graph.js,"result += og('article:modified_time', updated.toISOString());",return this.timezone(this.tz => {
hexo.f01a9aa3db9dc5b52d056c7467186fa5f33c5857.lib.models.post_asset.js,module.exports = function(ctx) {,module.exports = function(ctx) {
hexo.d351d8af7eca385068fb1b01740e090b9d49e951.test.scripts.hexo.load_database.js,hexo._dbLoaded.should.to.be.true;,exist.should.to.be.true;
karma.a1049c6059db84ae7b14621d8df6a0db7b6d13cc.test.unit.middleware.proxy.spec.js,const proxy = { '/base/': 'http://localhost:8000/' },const proxy = []).on(chunkedProxy.on(chunked
hexo.8c1fb006151faed752627f989b0ad758fc34678e.lib.plugins.console.server.js,if (hexo.debug) app.use(express.errorHandler());,app.use(express.errorHandler());
express.4106bae79ee98b498bcf093bdf4de71931f3cc10.lib.router.methods.js,"var RFC2616 = ['OPTIONS', 'GET', 'POST', 'PUT', 'HEAD', 'DELETE', 'TRACE', 'CONNECT'];",var u = require('./sucFirstTime-Proceedor-s = function (val) {
express.713d2aed93586a7c11fc2c8beeaa0c03c6f565c9.test.req.acceptsEncoding.js,req.acceptsEncoding('gzip').should.be.ok(),".set('Accept-Encoding','gzip, deflate')"
karma.9aa7d69d17d4c546069014f43fe4afa5e3fabaa1.lib.init.js,multiple: true,""""
express.92c5284b805cb4c179ade3a17e49c5300c2d7147.lib.application.js,this._usedRouter = true;,this.extend();
express.f724730e1ab259a66f6a0445161261555b6d733f.lib.request.js,deprecate('req.auth: Use basic-auth npm module instead');,""" />);""return this.return {'// this.engine }};"
karma.4864d8bb241529dcbcc8146a51c13a04e519d511.lib.reporters.Progress.js,"var ProgressReporter = function(formatError, reportSlow) {","var ProgressReporter = function(formatError, reportSlow) {"
hexo.2ee787e3891710db6cc21991ecfdb669d56ae906.lib.plugins.helper.list_categories.js,const style = options.hasOwnProperty('style') ? options.style : 'list';,var style = options.hasOwnProperty(\'style\')? options.style : \'list\';
